Arrival Date,Consignee,Consignee Address,Consignee City,Consignee State/Region,Consignee Postal Code,Consignee Country,Consignee Full Address,Consignee Email 1,Consignee Email 2,Consignee Email 3,Consignee Phone 1,Consignee Phone 2,Consignee Phone 3,Consignee Fax,Consignee Website 1,Consignee Website 2,Consignee Profile,Consignee D-U-N-S®,Consignee Industry,Consignee Revenue,Consignee Employees,Consignee Market Capitalization,Consignee Trade Roles,Consignee SIC Codes,Shipper,Shipper Address,Shipper City,Shipper State/Region,Shipper Postal Code,Shipper Country,Shipper Full Address,Shipper Email 1,Shipper Email 2,Shipper Email 3,Shipper Phone 1,Shipper Phone 2,Shipper Phone 3,Shipper Fax,Shipper Website 1,Shipper Website 2,Shipper Profile,Shipper D-U-N-S®,Shipper Industry,Shipper Revenue,Shipper Employees,Shipper Market Capitalization,Shipper Trade Roles,Shipper SIC Codes,Shipment Destination,Shipment Destination Region,Quantity,Weight (kg),Value of Goods (USD),Number of Containers,HS Code,Goods Shipped
2019-04-17,Vinglace,,,Florida,,United States,"Florida, USA",,,,,,,,,,https://panjiva.com/Vinglace/41823072,,,,,,"","",Everich Commerce Group Ltd.,8 Xin Ye Lu,Hangzhou Shi,Zhejiang Sheng,310016,China,"8 Xin Ye Lu, XinCheng ShangQuan, Jianggan Qu, Hangzhou Shi, Zhejiang Sheng, China, 310016",emshipping@everich.cn,,,+86 571 6993 6011,+86 571 8529 0114,+86 571 8792 3688,,,,https://panjiva.com/Everich-Commerce-Group-Ltd/46261616,,,,,,"","","Houston, Houston, Texas",Southwest Region,583 CTN,8051.0,"",1,9617.00,"VACUUM FLASK VACUUM CUP
.
.
."
2019-04-16,Kurgo Products Motivation Design,,,,,,2D FANARAS DRIVE SALISBURY MA 01952 US,,,,+1 978 465 5678,,,,,,https://panjiva.com/Kurgo-Products-Motivation-Design/26637198,,,,,,"","",Everich Commerce Group Ltd.,8 Xin Ye Lu,Hangzhou Shi,Zhejiang Sheng,310016,China,"8 Xin Ye Lu, XinCheng ShangQuan, Jianggan Qu, Hangzhou Shi, Zhejiang Sheng, China, 310016",emshipping@everich.cn,,,+86 571 6993 6011,+86 571 8529 0114,+86 571 8792 3688,,,,https://panjiva.com/Everich-Commerce-Group-Ltd/46261616,,,,,,"","","Illinois International Port District, Chicago, Illinois",North Central Region,358 CTN,2362.0,"",1,3923.30,PLASTIC BOTTLE
2019-04-15,Cru Cups Llc,1748 Independence Boulevard,Sarasota,Florida,34234,United States,"1748 Independence Blvd G2, Sarasota, FL 34234, USA",,,,,,,,,,https://panjiva.com/Cru-Cups-Llc/63056543,,,,,,"","",Everich Commerce Group Ltd.,8 Xin Ye Lu,Hangzhou Shi,Zhejiang Sheng,310016,China,"8 Xin Ye Lu, XinCheng ShangQuan, Jianggan Qu, Hangzhou Shi, Zhejiang Sheng, China, 310016",emshipping@everich.cn,,,+86 571 6993 6011,+86 571 8529 0114,+86 571 8792 3688,,,,https://panjiva.com/Everich-Commerce-Group-Ltd/46261616,,,,,,"","","ProvPort, Providence, Rhode Island",Northeast Region,210 CTN,1198.0,"",1,"",VACUUM CUP
2019-04-15,Costco Wholesale,999 Lake Drive,Issaquah,Washington,98027,United States,"999 Lake Drive, Issaquah, WA 98027, USA",exports@costco.com,,,+1 425 313 8100,,,+1 425 313 8103,costco.com,,https://panjiva.com/Costco-Wholesale/1824647,103391843,Food and Staples Retailing,129025000000.0,194000,107431955167.0,"",5399,Ups Scs China Ltd. Shanghai Br Anch,,Quzhou,Zhejiang,,China,"Quzhou, Zhejiang, China",,,,+86 57187923,+86 571 8792 3688,+86 571 879 2368,,,,https://panjiva.com/Ups-Scs-China-Ltd-Shanghai-Br-Anch/48273758,,,,,,"Manufacturer, Logistics","","Port of Oakland, Oakland, California",Pacific Region,29 PCS,5792.0,"",1,7323.93,"VACUUM FLASK
HTS CODE 732393
PO  5841120630
S/C 18-7122
SEAWAY BILL
AMS PREPAID
IF APPLICABLE CPSIA URL WWW.COSTCOC
PSIA.COM
 EMAIL FALLON EVERICH.CN"
2019-04-15,Base Brands Llc,887 West Marietta Street Northwest,Atlanta,Georgia,30318,United States,"887 West Marietta Street Northwest, Atlanta, GA 30318, USA",emandrew@basebrands.com,,,+1 678 395 7513,,,,,,https://panjiva.com/Base-Brands-Llc/1912036,,Containers and Packaging,395063,4,,"","5719, 7311",Everich And Tomic Housewares Co. Lt,9 Jiu Sheng Lu,Hangzhou Shi,Zhejiang Sheng,,China,"9 Jiu Sheng Lu, Jianggan Qu, Hangzhou Shi, Zhejiang Sheng, China",,,,+86 571 8792 2372,+86 158 6819 2680,+86 571 8792 3661,,,,https://panjiva.com/Everich-And-Tomic-Housewares-Co-Lt/46304150,,,,,,"","","Port of Long Beach, Long Beach, California",Pacific Region,16 CTN,134.0,"",1,"",PLASTIC LID
2019-04-13,Infuze Llc,690 Main Street,Logan,Utah,84321,United States,"690 Main St, Logan, UT 84321, USA",,,,,,,,,,https://panjiva.com/Infuze-Llc/62292801,,,,,,"","",Everich Commerce Group Ltd.,8 Xin Ye Lu,Hangzhou Shi,Zhejiang Sheng,310016,China,"8 Xin Ye Lu, XinCheng ShangQuan, Jianggan Qu, Hangzhou Shi, Zhejiang Sheng, China, 310016",emshipping@everich.cn,,,+86 571 6993 6011,+86 571 8529 0114,+86 571 8792 3688,,,,https://panjiva.com/Everich-Commerce-Group-Ltd/46261616,,,,,,"","","Port of Oakland, Oakland, California",Pacific Region,21 CTN,216.0,"",1,9617.00,VACUUM FLASK
2019-04-11,Derrs Holdings Inc.,9559 Collins Avenue,Surfside,Florida,33154,United States,"9559 Collins Ave #1001, Surfside, FL 33154, USA",,,,,,,,,,https://panjiva.com/Derrs-Holdings-Inc/38960980,,,,,,Wholesale,"",Everich Commerce Group Ltd.,8 Xin Ye Lu,Hangzhou Shi,Zhejiang Sheng,310016,China,"8 Xin Ye Lu, XinCheng ShangQuan, Jianggan Qu, Hangzhou Shi, Zhejiang Sheng, China, 310016",emshipping@everich.cn,,,+86 571 6993 6011,+86 571 8529 0114,+86 571 8792 3688,,,,https://panjiva.com/Everich-Commerce-Group-Ltd/46261616,,,,,,"","","Port of Long Beach, Long Beach, California",Pacific Region,31 CTN,465.0,"",1,3923.10,"PLASTIC FOOD CONTAINER
.
."
2019-04-10,Wyld Gear Llc,302 South David Street,Casper,Wyoming,82601,United States,"302 S David St, Casper, WY 82601, USA",,,,+1 307 267 1878,+1 307 577 1200,,,,,https://panjiva.com/Wyld-Gear-Llc/43981007,,,,,,"","",Everich Commerce Group Ltd.,8 Xin Ye Lu,Hangzhou Shi,Zhejiang Sheng,310016,China,"8 Xin Ye Lu, XinCheng ShangQuan, Jianggan Qu, Hangzhou Shi, Zhejiang Sheng, China, 310016",emshipping@everich.cn,,,+86 571 6993 6011,+86 571 8529 0114,+86 571 8792 3688,,,,https://panjiva.com/Everich-Commerce-Group-Ltd/46261616,,,,,,"","","Service Port-Denver, Denver, Colorado",North Central Region,442 CTN,4967.0,"",1,7323.93,VACUUM CUP  STAINLESS STEEL PETBOWL
2019-04-07,Costco Wholesale,999 Lake Drive,Issaquah,Washington,98027,United States,"999 Lake Drive, Issaquah, WA 98027, USA",exports@costco.com,,,+1 425 313 8100,,,+1 425 313 8103,costco.com,,https://panjiva.com/Costco-Wholesale/1824647,103391843,Food and Staples Retailing,129025000000.0,194000,107431955167.0,"",5399,Ups Scs China Ltd. Shanghai Br Anch,,Quzhou,Zhejiang,,China,"Quzhou, Zhejiang, China",,,,+86 57187923,+86 571 8792 3688,+86 571 879 2368,,,,https://panjiva.com/Ups-Scs-China-Ltd-Shanghai-Br-Anch/48273758,,,,,,"Manufacturer, Logistics","","Georgia Ports Authority, Savannah, Georgia",Southeast Region,86 PCS,12315.0,"",1,7323.93,"VACUUM FLASK
HTS CODE 732393
PO  2621123547
S/C 18-7122
SEAWAY BILL
AMS PREPAID
IF APPLICABLE CPSIA URL WWW.COSTCOC
PSIA.COM
 EMAIL FALLON EVERICH.CN"
2019-04-07,Costco Wholesale,999 Lake Drive,Issaquah,Washington,98027,United States,"999 Lake Drive, Issaquah, WA 98027, USA",exports@costco.com,,,+1 425 313 8100,,,+1 425 313 8103,costco.com,,https://panjiva.com/Costco-Wholesale/1824647,103391843,Food and Staples Retailing,129025000000.0,194000,107431955167.0,"",5399,Ups Scs China Ltd. Shanghai Br Anch,,Quzhou,Zhejiang,,China,"Quzhou, Zhejiang, China",,,,+86 57187923,+86 571 8792 3688,+86 571 879 2368,,,,https://panjiva.com/Ups-Scs-China-Ltd-Shanghai-Br-Anch/48273758,,,,,,"Manufacturer, Logistics","","Georgia Ports Authority, Savannah, Georgia",Southeast Region,86 PCS,12315.0,"",1,7323.93,"VACUUM FLASK
HTS CODE 732393
PO  2621123546
S/C 18-7122
SEAWAY BILL
AMS PREPAID
IF APPLICABLE CPSIA URL WWW.COSTCOC
PSIA.COM
 EMAIL FALLON EVERICH.CN"
2019-04-05,Costco Wholesale,999 Lake Drive,Issaquah,Washington,98027,United States,"999 Lake Drive, Issaquah, WA 98027, USA",exports@costco.com,,,+1 425 313 8100,,,+1 425 313 8103,costco.com,,https://panjiva.com/Costco-Wholesale/1824647,103391843,Food and Staples Retailing,129025000000.0,194000,107431955167.0,"",5399,Ups Scs China Ltd. Shanghai Br Anch,,Quzhou,Zhejiang,,China,"Quzhou, Zhejiang, China",,,,+86 57187923,+86 571 8792 3688,+86 571 879 2368,,,,https://panjiva.com/Ups-Scs-China-Ltd-Shanghai-Br-Anch/48273758,,,,,,"Manufacturer, Logistics","","Port of Oakland, Oakland, California",Pacific Region,86 PCS,12825.0,"",1,7323.93,"VACUUM FLASK
HTS CODE 732393
PO  1791120784
S/C 18-7122
SEAWAY BILL
AMS PREPAID
IF APPLICABLE CPSIA URL WWW.COSTCOC
PSIA.COM
 EMAIL FALLON EVERICH.CN"
2019-04-05,Costco Wholesale,999 Lake Drive,Issaquah,Washington,98027,United States,"999 Lake Drive, Issaquah, WA 98027, USA",exports@costco.com,,,+1 425 313 8100,,,+1 425 313 8103,costco.com,,https://panjiva.com/Costco-Wholesale/1824647,103391843,Food and Staples Retailing,129025000000.0,194000,107431955167.0,"",5399,Ups Scs China Ltd. Shanghai Br Anch,,Quzhou,Zhejiang,,China,"Quzhou, Zhejiang, China",,,,+86 57187923,+86 571 8792 3688,+86 571 879 2368,,,,https://panjiva.com/Ups-Scs-China-Ltd-Shanghai-Br-Anch/48273758,,,,,,"Manufacturer, Logistics","","Port of Oakland, Oakland, California",Pacific Region,100 PCS,14638.0,"",1,7323.93,"VACUUM FLASK
HTS CODE 732393
PO  1791120777
S/C 18-7122
SEAWAY BILL
AMS PREPAID
IF APPLICABLE CPSIA URL WWW.COSTCOC
PSIA.COM
 EMAIL FALLON EVERICH.CN"
2019-04-05,Costco Wholesale,999 Lake Drive,Issaquah,Washington,98027,United States,"999 Lake Drive, Issaquah, WA 98027, USA",exports@costco.com,,,+1 425 313 8100,,,+1 425 313 8103,costco.com,,https://panjiva.com/Costco-Wholesale/1824647,103391843,Food and Staples Retailing,129025000000.0,194000,107431955167.0,"",5399,Ups Scs China Ltd. Shanghai Br Anch,,Quzhou,Zhejiang,,China,"Quzhou, Zhejiang, China",,,,+86 57187923,+86 571 8792 3688,+86 571 879 2368,,,,https://panjiva.com/Ups-Scs-China-Ltd-Shanghai-Br-Anch/48273758,,,,,,"Manufacturer, Logistics","","Port of Oakland, Oakland, California",Pacific Region,86 PCS,12715.0,"",1,7323.93,"VACUUM FLASK
HTS CODE 732393
PO  1791120781
S/C 18-7122
SEAWAY BILL
AMS PREPAID
IF APPLICABLE CPSIA URL WWW.COSTCOC
PSIA.COM
 EMAIL FALLON EVERICH.CN"
2019-04-05,Costco Wholesale,999 Lake Drive,Issaquah,Washington,98027,United States,"999 Lake Drive, Issaquah, WA 98027, USA",exports@costco.com,,,+1 425 313 8100,,,+1 425 313 8103,costco.com,,https://panjiva.com/Costco-Wholesale/1824647,103391843,Food and Staples Retailing,129025000000.0,194000,107431955167.0,"",5399,Ups Scs China Ltd. Shanghai Br Anch,,Quzhou,Zhejiang,,China,"Quzhou, Zhejiang, China",,,,+86 57187923,+86 571 8792 3688,+86 571 879 2368,,,,https://panjiva.com/Ups-Scs-China-Ltd-Shanghai-Br-Anch/48273758,,,,,,"Manufacturer, Logistics","","Port of Oakland, Oakland, California",Pacific Region,86 PCS,12905.0,"",1,7323.93,"VACUUM FLASK
HTS CODE 732393
PO  5841120619
S/C 18-7122
SEAWAY BILL
AMS PREPAID
IF APPLICABLE CPSIA URL WWW.COSTCOC
PSIA.COM
  EMAILFALLON EVERICH.CN"
2019-04-05,Costco Wholesale,999 Lake Drive,Issaquah,Washington,98027,United States,"999 Lake Drive, Issaquah, WA 98027, USA",exports@costco.com,,,+1 425 313 8100,,,+1 425 313 8103,costco.com,,https://panjiva.com/Costco-Wholesale/1824647,103391843,Food and Staples Retailing,129025000000.0,194000,107431955167.0,"",5399,Ups Scs China Ltd. Shanghai Br Anch,,Quzhou,Zhejiang,,China,"Quzhou, Zhejiang, China",,,,+86 57187923,+86 571 8792 3688,+86 571 879 2368,,,,https://panjiva.com/Ups-Scs-China-Ltd-Shanghai-Br-Anch/48273758,,,,,,"Manufacturer, Logistics","","Port of Oakland, Oakland, California",Pacific Region,86 PCS,12885.0,"",1,7323.93,"VACUUM FLASK
HTS CODE 732393
PO  5841120620
S/C 18-7122
SEAWAY BILL
AMS PREPAID
IF APPLICABLE CPSIA URL WWW.COSTCOC
PSIA.COM
  EMAILFALLON EVERICH.CN"
2019-04-01,Tote Fashion,5636 Meadow Lane,Ann Arbor,Michigan,48105,United States,"5636 Meadow Lane, Ann Arbor, MI 48105, USA",,,,+1 248 816 9988,,,,,,https://panjiva.com/Tote-Fashion/2164934,,,82000,1,,Wholesale,7389,Everich And Tomic Housewares Co. Lt,9 Jiu Sheng Lu,Hangzhou Shi,Zhejiang Sheng,,China,"9 Jiu Sheng Lu, Jianggan Qu, Hangzhou Shi, Zhejiang Sheng, China",,,,+86 571 8792 2372,+86 158 6819 2680,+86 571 8792 3661,,,,https://panjiva.com/Everich-And-Tomic-Housewares-Co-Lt/46304150,,,,,,"","","The Port of Los Angeles, Los Angeles, California",Pacific Region,1101 CTN,9909.0,"",1,3924.10,"PLASTIC MUG STAINLESS STEEL DRINK STRAWS
VACUUM CUP HAT"
2019-04-01,Yusen Logistics (Americas) Inc.,19001 Harborgate Way,Torrance,California,90501,United States,"19001 Harborgate Way, Torrance, CA 90501, USA",teusla-tsa@us.yusen-logistics.com,maureen-o@yusenusa.com,yasdf@yusenusa.com,+1 877 730 3851,+1 877 790 3849,+1 847 264 7740,,telogistics.com,tecs.com,https://panjiva.com/Yusen-Logistics-Americas-Inc/4623711,,,,,,"Manufacturer, Logistics","4513, 4731",,,,,,,,,,,,,,,,,,,,,,,,,"The Port of Los Angeles, Los Angeles, California",Pacific Region,1900 CTN,8470.0,"",1,"","STAINLESS STEEL TRAVEL BOTTLE
STAINLESS STEEL TRAVEL BOTTLE
PLASTIC MUG
PLASTIC BOTTLE
PO NO.  165296 SKU NO. 72793.02
PO NO.  166889 SKU NO. 91684.03
PO NO.  166889 SKU NO. 92616.04
PO NO.  166890 SKU NO. 92616.04
PO NO.  167203 SKU NO. 72795.02
PO NO.  167414 SKU NO. 72793.02
SHIPPER DECLARED THAT THIS SHIPMENT
CONTAINS NO WOOD PACKAGING
MATERIAL.
EFFECTIVE
DATE 2018/05/01-2019/04/30
CY-DOOR
@CHINA , JINHUA 321200, CHINA
@O/B EVERICH AND TOMIC HOUSEWARES
CO
@LTD
@ROOM 530,UNIT A 17,NO.9 JIUSHENG
@ROAD, JIANGGAN DISTRICT,HANGZHOU,
@HANGZHOU 310016, CHINA
@O/B METAL GROUP CO., LTD.
@NO.1 MUDAN SOUTH ROAD, BAIHUASHAN
@INDUSTRIAL AREA, WUYI ZHEJIANG
@CHINA , JINHUA 321200, CHINA
@@PHONE  (323) 832-8900 EXT. 1133
@@EMAIL SANDYJ@GIBSONUSA.COM
@@@PHONE  (323) 832-8900 EXT. 1133
@@@EMAIL SANDYJ@GIBSONUSA.COM
@@@@GISELLE HASROUTY
@@@@GISELLE.HASROUTY@US.YU
@@@@SEN-LOGISTICS.COM
@@@@GOI-CHB.LAX@US.YUSEN-LOGISTICS.
@@@@COM"
2019-03-23,Aarena Corp.,20555 Devonshire Street,Los Angeles,California,91311,United States,"20555 Devonshire St, Chatsworth, CA 91311, USA",,,,,,,,,,https://panjiva.com/Aarena-Corp/46180486,,,,,,"","",Everich Commerce Group Ltd.,8 Xin Ye Lu,Hangzhou Shi,Zhejiang Sheng,310016,China,"8 Xin Ye Lu, XinCheng ShangQuan, Jianggan Qu, Hangzhou Shi, Zhejiang Sheng, China, 310016",emshipping@everich.cn,,,+86 571 6993 6011,+86 571 8529 0114,+86 571 8792 3688,,,,https://panjiva.com/Everich-Commerce-Group-Ltd/46261616,,,,,,"","","El Paso, Texas",Southwest Region,42 CTN,420.0,"",1,9617.00,VACUUM BOTTLE
2019-03-17,Starbucks Coffee Co.,,,,,,SEATTLE WA 98134 UNITED STATES,investorrelations@starbucks.com,,,+1 206 447 1575,,,+1 206 447 3432,starbucks.com,,https://panjiva.com/Starbucks-Coffee-Co/1824619,155366107,"Hotels, Restaurants and Leisure",22386800000.0,291000,94546272000.0,Logistics,"5149, 5461, 5499, 5812, 7996",Everich And Tomic Housewares Co. Lt,9 Jiu Sheng Lu,Hangzhou Shi,Zhejiang Sheng,,China,"9 Jiu Sheng Lu, Jianggan Qu, Hangzhou Shi, Zhejiang Sheng, China",,,,+86 571 8792 2372,+86 158 6819 2680,+86 571 8792 3661,,,,https://panjiva.com/Everich-And-Tomic-Housewares-Co-Lt/46304150,,,,,,"","","Dallas/Fort Worth International Airport, Dallas/Ft. Worth Airport, Texas",Southwest Region,106 CTN,1081.0,"",1,"",VACUUM CUP
2019-03-16,Dnd Llc,24208 San Michele Road,Moreno Valley,California,92551,United States,"24208 San Michele Rd, Moreno Valley, CA 92551, USA",,,,,,,,,,https://panjiva.com/Dnd-Llc/62741188,,,,,,"","",Everich Commerce Group Ltd.,8 Xin Ye Lu,Hangzhou Shi,Zhejiang Sheng,310016,China,"8 Xin Ye Lu, XinCheng ShangQuan, Jianggan Qu, Hangzhou Shi, Zhejiang Sheng, China, 310016",emshipping@everich.cn,,,+86 571 6993 6011,+86 571 8529 0114,+86 571 8792 3688,,,,https://panjiva.com/Everich-Commerce-Group-Ltd/46261616,,,,,,"","","The Port of Los Angeles, Los Angeles, California",Pacific Region,44 CTN,527.0,"",1,3924.10,"VACUUM CUP
PLASTIC LID"
